Dimension,Potencia,Tiempo Promedio (s),CPU Promedio (%),RAM Promedio (%)
1,100,0.042034523487091066,2.4612857142857143,0.10518436409782589
1,200,0.04826306819915772,2.486625,0.10528220231148767
1,300,0.05304881572723388,2.0047777777777775,0.10537295617428466
1,400,0.05243403673171997,2.393111111111111,0.10549787087204386
1,500,0.053210442066192624,2.4465555555555554,0.10549787087204386
1,600,0.060059490203857424,2.1811,0.10515042882098789
1,700,0.06468385696411133,2.5115,0.10400824812428264
1,800,0.061656107902526854,2.1397,0.10500896222684979
1,900,0.06063473463058472,3.3010999999999995,0.10616495769301737
1,1000,0.06420575141906738,3.3023,0.10645212038139786
2,100,0.04164024114608764,3.0977142857142854,0.1068035043744773
2,200,0.04688739776611328,2.289625,0.10666489239336985
2,300,0.05221661329269409,2.696777777777778,0.1066310760290253
2,400,0.05214519262313843,3.3689999999999998,0.10660715279425251
2,500,0.05151142120361328,2.0438888888888886,0.10660293261316013
2,600,0.057901921272277834,2.3454,0.10659688191187787
2,700,0.057014145851135255,1.9091,0.10660062016692748
2,800,0.05674492597579956,2.0221999999999998,0.10659119065819653
2,900,0.056915268898010254,2.3120000000000003,0.10659520448974018
2,1000,0.05602989435195923,2.1044,0.10659002844428685
3,100,0.03961084842681885,2.6628571428571433,0.10660883782374679
3,200,0.04544931411743164,2.62225,0.10659057660187823
3,300,0.05114166975021362,1.990888888888889,0.1065937866686476
3,400,0.05105460643768311,2.411222222222222,0.10660789831520256
3,500,0.05118336915969848,2.1706666666666665,0.10659993721648572
3,600,0.05653101921081543,2.5622000000000003,0.10631257084113133
3,700,0.05634790420532226,2.4965,0.10625051820362465
3,800,0.05713623046875,2.6576999999999997,0.10624808594152504
3,900,0.056226322650909426,3.3504,0.10620834301844927
3,1000,0.05644191741943359,2.9386,0.10612705993429299
4,100,0.039601852893829344,2.9995714285714286,0.10612423399148764
4,200,0.04489612579345703,2.031625,0.10613235579561332
4,300,0.050876588821411134,2.5169999999999995,0.10612369577100576
4,400,0.05228710651397705,3.123333333333333,0.10614743262554105
4,500,0.05126913070678711,2.6656666666666666,0.10615026826772611
4,600,0.057256097793579104,2.5391999999999997,0.10614795582149349
4,700,0.0569877552986145,2.8604999999999996,0.10614607471238205
4,800,0.05677975654602051,2.4534,0.10614008391903326
4,900,0.05761455297470093,2.9596,0.10613835857054879
4,1000,0.056459660530090335,2.3817,0.10613919728161765
5,100,0.04008176565170288,3.1481428571428567,0.10615352041268691
5,200,0.04556297063827515,2.8166249999999997,0.10615450675402041
5,300,0.0513761830329895,2.960222222222222,0.10614908342193051
5,400,0.05123453617095947,2.557444444444444,0.10615540703713197
5,500,0.052207598686218264,3.6975555555555553,0.10616460623314093
5,600,0.057141385078430175,3.2716999999999996,0.10615207748731749
5,700,0.05676866769790649,2.7632999999999996,0.10615982957391079
5,800,0.05681344270706177,2.9261999999999997,0.10615761298037177
5,900,0.060747628211975095,2.2652000000000005,0.10614774015293296
5,1000,0.0600492787361145,2.9818000000000002,0.10615472541797766
6,100,0.03996514558792114,2.829142857142857,0.10618727425406921
6,200,0.046764237880706785,2.870125,0.10637034006139365
6,300,0.054840967655181885,2.894222222222222,0.10637530909165462
6,400,0.05608628034591675,3.0653333333333332,0.10637186105726051
6,500,0.05735241174697876,2.3945555555555553,0.1063939604282805
6,600,0.06384760856628419,4.0855999999999995,0.10639678941402854
6,700,0.05986342430114746,1.8092999999999997,0.10659952984253802
6,800,0.05815981388092041,3.0925,0.10663651700067339
6,900,0.057469885349273685,2.4261,0.10663391699636002
6,1000,0.061469762325286864,3.2283,0.10663904511546658
7,100,0.04567627429962158,3.113857142857143,0.10663802154563154
7,200,0.04654103755950928,1.809625,0.10663402483064026
7,300,0.052362184524536136,1.9105555555555553,0.10663763927596076
7,400,0.05229379892349243,2.2528888888888887,0.10663477700802744
7,500,0.051644670963287356,2.389777777777778,0.106631661795486
7,600,0.057430579662323,2.2139,0.10662730316050294
7,700,0.057564072608947754,2.4213000000000005,0.10661977872405687
7,800,0.05753226995468139,2.1867,0.10661929946058897
7,900,0.057238926887512205,2.5622000000000003,0.10661673540103568
7,1000,0.05720862150192261,2.5564,0.10661651973247516
8,100,0.04026262283325195,2.714000000000001,0.10663110645845181
8,200,0.0462763786315918,2.312875,0.10664844766562746
8,300,0.05835063934326172,2.5576666666666665,0.10663697363225533
8,400,0.052016105651855465,1.5936666666666668,0.10662893265629382
8,500,0.0529977822303772,2.5015555555555555,0.10662480566532022
8,600,0.05700680732727051,2.4836,0.1062945145899781
8,700,0.05704464435577392,2.3004,0.10624767856757732
8,800,0.05681183338165283,2.3117,0.10623977072035692
8,900,0.05685298204421997,2.1660999999999997,0.10623729053191054
8,1000,0.056773228645324705,2.1614,0.1062321863759774
9,100,0.039860200881958005,2.423,0.1062480208986259
9,200,0.04537343263626099,2.5683749999999996,0.10624848732467945
9,300,0.051361415386199955,2.3979999999999997,0.10624320544187695
9,400,0.05177703619003296,2.811888888888889,0.10625159255256524
9,500,0.05108158349990845,2.808333333333333,0.10624480298676998
9,600,0.05710659027099609,2.7760000000000002,0.10624473109724981
9,700,0.05624148607254029,2.0874,0.1062411725660006
9,800,0.05680523872375488,2.6434999999999995,0.1062469956171356
9,900,0.056669251918792726,1.9947,0.10624652833525441
9,1000,0.05778627157211304,2.7516999999999996,0.1062629311274434
10,100,0.04430908679962158,2.101714285714286,0.1062676878173623
10,200,0.050573177337646484,3.5925,0.10626574080952393
10,300,0.05245468378067017,2.71,0.10625675794771933
10,400,0.05198048830032349,2.2224444444444442,0.1062622694776002
10,500,0.05151857614517212,2.013888888888889,0.1062595802770303
10,600,0.05770587205886841,2.5164,0.10625739563438912
10,700,0.05706486225128174,2.2773,0.10625568226749134
10,800,0.05766392469406128,2.2593,0.10625980393331531
10,900,0.061442294120788575,2.8758999999999997,0.1062597320437951
10,1000,0.062265193462371825,3.3549,0.1062872896931995
